ESR,ESL,IntOblR,IntOblL,LatR,LatL,AbsR,AbsL,ExtOblR,ExtOblL
-0.001368,-0.015166,0.015715,0.027213,0.009473,-0.011881,-0.027321,0.026884,0.049223,0.031155
0.005202,-0.003011,0.021956,0.025899,0.01013,-0.00991,-0.026007,0.026884,0.038382,0.064006
0.008487,0.002245,0.02327,0.027213,0.011772,-0.013195,-0.026335,0.02787,0.035754,0.051523
0.013086,0.005859,0.025899,0.026227,0.006188,-0.007282,-0.026664,0.026884,0.02327,0.046267
0.003888,-0.003011,0.026884,0.02557,0.005859,-0.010238,-0.026993,0.023599,0.012758,0.039039
-0.00531,-0.008924,0.024913,0.02787,0.002574,-0.012209,-0.027321,0.024256,0.033126,0.033126
-0.00991,-0.014837,0.025242,0.02787,-0.003339,-0.014837,-0.026993,0.021299,0.023599,0.032469
-0.010895,-0.015823,0.023599,0.02787,0.003231,-0.012866,-0.028964,0.02327,0.0167,0.036083
-0.014837,-0.013852,0.020642,0.024913,0.000274,-0.011881,-0.030278,0.030498,0.0167,0.030169
-0.008924,-0.01878,0.022942,0.023928,0.00356,-0.013195,-0.030606,0.019985,0.009144,0.018014
-0.010567,-0.00991,0.024585,0.018671,0.007173,-0.012538,-0.028307,0.022285,0.004545,0.012758
-0.008924,-0.015494,0.022613,0.023928,0.012101,-0.011881,-0.028635,0.024913,0.014729,0.010787
-0.003011,-0.015166,0.020642,0.023928,0.014401,-0.00761,-0.02535,0.019328,-5.4e-05,-5.4e-05
-0.00991,-0.01878,0.019328,0.025242,0.012101,-0.006296,-0.030935,0.028855,-5.4e-05,0.004874
-0.003996,-0.013195,0.015386,0.026227,0.008816,-0.003011,-0.028635,0.020314,0.013744,-0.018451
-0.002354,-0.007282,0.019,0.033454,0.004217,-5.4e-05,-0.030935,0.020971,-0.005967,-0.018123
0.001917,-0.005967,0.019657,0.024256,-5.4e-05,0.005531,-0.031592,0.019657,0.007502,-0.018451
-0.000711,-0.005967,0.020971,0.026227,0.003231,0.001917,-0.024364,0.018343,0.012429,-0.013195
0.000603,-0.010895,0.020642,0.025242,0.00783,0.004874,-0.032577,0.015386,0.000931,-0.003996
0.003231,-0.006624,0.02787,0.02557,0.006845,0.00356,-0.030935,0.020642,-0.000383,0.026884
0.004217,-0.00761,0.019985,0.024256,0.015386,0.003231,-0.029292,0.020314,0.012101,-0.001368
-5.4e-05,-0.005967,0.018671,0.026227,0.008159,0.008816,-0.031263,0.022285,0.012758,0.013744
-0.00531,-0.003996,0.019,0.025899,0.010787,0.002902,-0.032249,0.027541,0.017357,0.021628
-0.00104,-0.00761,0.020314,0.025899,0.011444,0.004874,-0.033234,0.020314,0.044296,0.019657
-0.002354,-0.002354,0.019657,0.030498,0.012101,0.005859,-0.030606,0.022285,0.014401,0.03444
0.000274,-0.002354,0.018014,0.021628,0.020642,0.006188,-0.028307,0.021628,0.018671,0.032797
-0.001368,-5.4e-05,0.017686,0.02557,0.010458,0.004217,-0.028964,0.022285,0.021956,0.038711
0.003888,-0.003668,0.019985,0.026884,0.007502,0.003888,-0.025021,0.01013,0.015715,0.04101
-0.003339,-0.005639,0.018671,0.028527,0.006188,0.004874,-0.027321,0.028527,0.02557,0.044624
-0.002354,-0.004653,0.017029,0.032469,0.005859,0.005531,-0.029292,0.027541,0.025899,0.042653
0.000274,-0.006624,0.014401,0.029512,0.010458,0.004545,-0.02765,0.029512,0.031812,0.064006
0.000931,-0.004325,0.016372,0.03214,0.008159,0.002902,-0.02765,0.029184,0.035426,0.05448
0.010458,-0.00531,0.021299,0.031483,0.008816,0.006516,-0.022393,0.020971,0.014072,0.044953
